"Year","Field","Value","Unit"
"1966","total energy consumed by the transportation sector Tennessee","248978","billion btu"
"1967","total energy consumed by the transportation sector Tennessee","257828","billion btu"
"1968","total energy consumed by the transportation sector Tennessee","277502","billion btu"
"1969","total energy consumed by the transportation sector Tennessee","296060","billion btu"
"1970","total energy consumed by the transportation sector Tennessee","308383","billion btu"
"1971","total energy consumed by the transportation sector Tennessee","325418","billion btu"
"1972","total energy consumed by the transportation sector Tennessee","355659","billion btu"
"1973","total energy consumed by the transportation sector Tennessee","388248","billion btu"
"1974","total energy consumed by the transportation sector Tennessee","380946","billion btu"
"1975","total energy consumed by the transportation sector Tennessee","390255","billion btu"
"1976","total energy consumed by the transportation sector Tennessee","406098","billion btu"
"1977","total energy consumed by the transportation sector Tennessee","418416","billion btu"
"1978","total energy consumed by the transportation sector Tennessee","443273","billion btu"
"1979","total energy consumed by the transportation sector Tennessee","450307","billion btu"
"1980","total energy consumed by the transportation sector Tennessee","408896","billion btu"
"1981","total energy consumed by the transportation sector Tennessee","408735","billion btu"
"1982","total energy consumed by the transportation sector Tennessee","398310","billion btu"
"1983","total energy consumed by the transportation sector Tennessee","396071","billion btu"
"1984","total energy consumed by the transportation sector Tennessee","426527","billion btu"
"1985","total energy consumed by the transportation sector Tennessee","434200","billion btu"
"1986","total energy consumed by the transportation sector Tennessee","465660","billion btu"
"1987","total energy consumed by the transportation sector Tennessee","458225","billion btu"
"1988","total energy consumed by the transportation sector Tennessee","466234","billion btu"
"1989","total energy consumed by the transportation sector Tennessee","477732","billion btu"
"1990","total energy consumed by the transportation sector Tennessee","466321","billion btu"
"1991","total energy consumed by the transportation sector Tennessee","440683","billion btu"
"1992","total energy consumed by the transportation sector Tennessee","460344","billion btu"
"1993","total energy consumed by the transportation sector Tennessee","485213","billion btu"
"1994","total energy consumed by the transportation sector Tennessee","499428","billion btu"
"1995","total energy consumed by the transportation sector Tennessee","523840","billion btu"
"1996","total energy consumed by the transportation sector Tennessee","541591","billion btu"
"1997","total energy consumed by the transportation sector Tennessee","546093","billion btu"
"1998","total energy consumed by the transportation sector Tennessee","556279","billion btu"
"1999","total energy consumed by the transportation sector Tennessee","574005","billion btu"
"2000","total energy consumed by the transportation sector Tennessee","583021","billion btu"
"2004","total energy consumed by the transportation sector Tennessee","630262","billion btu"
"2005","total energy consumed by the transportation sector Tennessee","645189","billion btu"
"2006","total energy consumed by the transportation sector Tennessee","648771","billion btu"
"2007","total energy consumed by the transportation sector Tennessee","651803","billion btu"
"2001","total energy consumed by the transportation sector Tennessee","579918","billion btu"
"2002","total energy consumed by the transportation sector Tennessee","613320","billion btu"
"2003","total energy consumed by the transportation sector Tennessee","629708","billion btu"
"2008","total energy consumed by the transportation sector Tennessee","611820","billion btu"
"2001","total energy consumed by the transportation sector United States","26241290","billion btu"
"2002","total energy consumed by the transportation sector United States","26812641","billion btu"
"2005","total energy consumed by the transportation sector United States","28271919","billion btu"
"2017","total energy consumed by the transportation sector Tennessee","639307","billion btu"
"2017","total energy consumed by the transportation sector United States","28022196","billion btu"
"1960","total energy consumed by the transportation sector United States","10596612","billion btu"
"1961","total energy consumed by the transportation sector United States","10769305","billion btu"
"1962","total energy consumed by the transportation sector United States","11219665","billion btu"
"1963","total energy consumed by the transportation sector United States","11655060","billion btu"
"1964","total energy consumed by the transportation sector United States","11998948","billion btu"
"1965","total energy consumed by the transportation sector United States","12434010","billion btu"
"1966","total energy consumed by the transportation sector United States","13100740","billion btu"
"1967","total energy consumed by the transportation sector United States","13751510","billion btu"
"1968","total energy consumed by the transportation sector United States","14864713","billion btu"
"1969","total energy consumed by the transportation sector United States","15504735","billion btu"
"1970","total energy consumed by the transportation sector United States","16094212","billion btu"
"1971","total energy consumed by the transportation sector United States","16725986","billion btu"
"1972","total energy consumed by the transportation sector United States","17716191","billion btu"
"1973","total energy consumed by the transportation sector United States","18615342","billion btu"
"1974","total energy consumed by the transportation sector United States","18119371","billion btu"
"1975","total energy consumed by the transportation sector United States","18245049","billion btu"
"1976","total energy consumed by the transportation sector United States","19101169","billion btu"
"1977","total energy consumed by the transportation sector United States","19822842","billion btu"
"1978","total energy consumed by the transportation sector United States","20619378","billion btu"
"1979","total energy consumed by the transportation sector United States","20472501","billion btu"
"1980","total energy consumed by the transportation sector United States","19696846","billion btu"
"1981","total energy consumed by the transportation sector United States","19515225","billion btu"
"1982","total energy consumed by the transportation sector United States","19090937","billion btu"
"1983","total energy consumed by the transportation sector United States","19176442","billion btu"
"1984","total energy consumed by the transportation sector United States","19655350","billion btu"
"1985","total energy consumed by the transportation sector United States","20089174","billion btu"
"1986","total energy consumed by the transportation sector United States","20790496","billion btu"
"1987","total energy consumed by the transportation sector United States","21471276","billion btu"
"1988","total energy consumed by the transportation sector United States","22319319","billion btu"
"1989","total energy consumed by the transportation sector United States","22478541","billion btu"
"1990","total energy consumed by the transportation sector United States","22423888","billion btu"
"1991","total energy consumed by the transportation sector United States","22120398","billion btu"
"1992","total energy consumed by the transportation sector United States","22418616","billion btu"
"1993","total energy consumed by the transportation sector United States","22676130","billion btu"
"1994","total energy consumed by the transportation sector United States","23322784","billion btu"
"1995","total energy consumed by the transportation sector United States","23818771","billion btu"
"1996","total energy consumed by the transportation sector United States","24425354","billion btu"
"1997","total energy consumed by the transportation sector United States","24735893","billion btu"
"1998","total energy consumed by the transportation sector United States","25229069","billion btu"
"1999","total energy consumed by the transportation sector United States","25920574","billion btu"
"2000","total energy consumed by the transportation sector United States","26521400","billion btu"
"2010","total energy consumed by the transportation sector United States","26988792","billion btu"
"2006","total energy consumed by the transportation sector United States","28711295","billion btu"
"2010","total energy consumed by the transportation sector Tennessee","616465","billion btu"
"2011","total energy consumed by the transportation sector United States","26597288","billion btu"
"2007","total energy consumed by the transportation sector United States","28831005","billion btu"
"2009","total energy consumed by the transportation sector Tennessee","595903","billion btu"
"2012","total energy consumed by the transportation sector Tennessee","593905","billion btu"
"2011","total energy consumed by the transportation sector Tennessee","613747","billion btu"
"2008","total energy consumed by the transportation sector United States","27443620","billion btu"
"2004","total energy consumed by the transportation sector United States","27836540","billion btu"
"2003","total energy consumed by the transportation sector United States","26889268","billion btu"
"2009","total energy consumed by the transportation sector United States","26616078","billion btu"
"2015","total energy consumed by the transportation sector Tennessee","620725","billion btu"
"2012","total energy consumed by the transportation sector United States","26125275","billion btu"
"2015","total energy consumed by the transportation sector United States","27244957","billion btu"
"2019","total energy consumed by the transportation sector United States","28589691","billion btu"
"2019","total energy consumed by the transportation sector Tennessee","666834","billion btu"
"2018","total energy consumed by the transportation sector United States","28470753","billion btu"
"2018","total energy consumed by the transportation sector Tennessee","647130","billion btu"
"2016","total energy consumed by the transportation sector United States","27792276","billion btu"
"2016","total energy consumed by the transportation sector Tennessee","633526","billion btu"
"2020","total energy consumed by the transportation sector United States","24349079","billion btu"
"2020","total energy consumed by the transportation sector Tennessee","614701","billion btu"
